iter	Passed	Remaining
0	363	362981
1	561	280266
2	694	230956
3	730	181987
4	741	147513
5	784	129927
6	807	114603
7	858	106505
8	906	99820
9	929	91977
10	938	84384
11	987	81321
12	1018	77346
13	1125	79243
14	1186	77890
15	1203	74016
16	1274	73687
17	1292	70514
18	1356	70036
19	1372	67251
20	2366	110331
21	4479	199113
22	6592	280026
23	7517	305730
24	12955	505251
25	13149	492593
26	13173	474723
27	13180	457565
28	13195	441830
29	13202	426868
30	13221	413289
31	13275	401592
32	13294	389563
33	13301	377928
34	13316	367147
35	13333	357049
36	13350	347477
37	13363	338308
38	13384	329800
39	13405	321726
40	13432	314192
41	13447	306720
42	13467	299727
43	13494	293198
44	13524	287017
45	13557	281172
46	13589	275543
47	13661	270950
48	13679	265499
49	13702	260354
50	13733	255552
51	13786	251337
52	13828	247081
53	13852	242669
54	13893	238717
55	13941	235013
56	13970	231133
57	13986	227168
58	14013	223508
59	14045	220053
60	14077	216701
61	14094	213230
62	14106	209805
63	14142	206832
64	14162	203722
65	14181	200691
66	14227	198122
67	14249	195307
68	14272	192572
69	14295	189926
70	14314	187296
71	14328	184674
72	14346	182182
73	14351	179582
74	14359	177106
75	14373	174753
76	14380	172376
77	14395	170160
78	14411	168007
79	14435	166004
80	14463	164098
81	14482	162131
82	14499	160191
83	14511	158240
84	14517	156272
85	14531	154437
86	14546	152650
87	14559	150887
88	14569	149134
89	14583	147454
90	14597	145813
91	14611	144211
92	14637	142757
93	14655	141249
94	14670	139753
95	14674	138185
96	14687	136734
97	14701	135311
98	14714	133918
99	14727	132546
100	14740	131208
101	14756	129913
102	14772	128648
103	14777	127316
104	14791	126081
105	14804	124864
106	14820	123692
107	14832	122509
108	14846	121360
109	14862	120249
110	14873	119118
111	14886	118029
112	14901	116972
113	14914	115912
114	14930	114903
115	14946	113902
116	14962	112919
117	14971	111903
118	14983	110927
119	14997	109980
120	15008	109028
121	15026	108142
122	15036	107212
123	15054	106351
124	15066	105462
125	15076	104575
126	15091	103737
127	15103	102892
128	15118	102081
129	15134	101284
130	15149	100498
131	15168	99745
132	15183	98977
133	15200	98233
134	15218	97513
135	15240	96822
136	15257	96109
137	15262	95334
138	15284	94677
139	15310	94049
140	15328	93382
141	15347	92731
142	15366	92092
143	15385	91456
144	15397	90793
145	15413	90157
146	15442	89608
147	15469	89052
148	15507	88572
149	15514	87917
150	15530	87320
151	15541	86703
152	15545	86059
153	15561	85487
154	15576	84919
155	15607	84443
156	15770	84679
157	15825	84336
158	15855	83862
159	15886	83404
160	15942	83078
161	15984	82687
162	16004	82184
163	16024	81683
164	16052	81235
165	16085	80815
166	16108	80350
167	16125	79862
168	16143	79379
169	16157	78886
170	16172	78402
171	16191	77945
172	16211	77497
173	16236	77077
174	16256	76639
175	16290	76270
176	16318	75875
177	16364	75571
178	16403	75234
179	16426	74831
180	16447	74424
